carneV carneB ovos leite peixe cereais carboidratos GraosNozes FrutVeg
Alban 10 1 1 9 0 42 1 6 2
Austr 9 14 4 20 2 28 4 1 4
Belgi 14 9 4 18 5 27 6 2 4
Bula 8 6 2 8 1 57 1 4 4
Tchec 10 11 3 13 2 34 5 1 4
Dinam 11 11 4 25 10 22 5 1 2
AleOc 8 12 4 11 5 25 7 1 4
Finla 10 5 3 34 6 26 5 1 1
Franc 18 10 3 20 6 28 5 2 7
Greci 10 3 3 18 6 42 2 8 7
Hungr 5 12 3 10 0 40 4 5 4
Irlan 14 10 5 26 2 24 6 2 3
Itali 9 5 3 14 3 37 2 4 7
PaisB 10 14 4 23 3 22 4 2 4
Norue 9 5 3 23 10 23 5 2 3
Polon 7 10 3 19 3 36 6 2 7
Portu 6 4 1 5 14 27 6 5 8
Romen 6 6 2 11 1 50 3 5 3
Espan 7 3 3 9 7 29 6 6 7
Sueci 10 8 4 25 8 20 4 1 2
Suica 13 10 3 24 2 26 3 2 5
ReinU 17 6 5 21 4 24 5 3 3
USSR 9 5 2 17 3 44 6 3 3
AleOr 11 13 4 19 3 19 5 2 4
Iugos 4 5 1 10 1 56 3 6 3
